['slide', 'sidle']
['sloop', 'spool']
['smile', 'slime']
['smite', 'metis']
['smite', 'times']
['snail', 'slain']
['snake', 'sneak']
['snipe', 'penis']
['sonic', 'scion']
['south', 'shout']
['sower', 'serow']
['sower', 'worse']
['space', 'scape']
['spate', 'paste']
['spear', 'spare']
['spile', 'piles']
['spile', 'spiel']
['spine', 'snipe']
['spine', 'penis']
['spirt', 'strip']
['spoon', 'snoop']
['sport', 'strop']
['sprat', 'strap']
['sprat', 'parts']
['sprit', 'spirt']
['sprit', 'strip']
['sprue', 'purse']
['sprue', 'super']
['spunk', 'punks']
['stair', 'sitar']
['stale', 'least']
['stale', 'slate']
['stale', 'tesla']
['stale', 'stela']
['stale', 'steal']
['stalk', 'talks']
['stead', 'sated']
['steak', 'stake']
['steel', 'sleet']
['steer', 'terse']
['stela', 'steal']
['stele', 'steel']
['stele', 'sleet']
['stile', 'islet']
['stink', 'skint']
['stipe', 'piste']
['stipe', 'spite']
['stone', 'onset']
['stops', 'spots']
['stork', 'torsk']
['stoup', 'spout']
['strap', 'parts']
['straw', 'swart']
['stray', 'satyr']
['strew', 'trews']
['stria', 'stair']
['stria', 'sitar']
['strut', 'trust']
['sucre', 'curse']
['tabes', 'beast']
['tabes', 'beats']
['table', 'blate']
['table', 'bleat']
['talon', 'tonal']
['tamed', 'mated']
['tamer', 'armet']
['tamer', 'mater']
['tansy', 'nasty']
['taped', 'adept']
['taste', 'state']
['tater', 'tetra']
['tater', 'treat']
['tawse', 'waste']
['tawse', 'sweat']
['taxer', 'extra']
['tears', 'aster']
['tears', 'stare']
['teens', 'tense']
['tenia', 'tinea']
['tenon', 'tenno']
['tenor', 'toner']
['teras', 'rates']
['teras', 'tears']
['teras', 'aster']
['teras', 'stare']
['terce', 'erect']
['teres', 'steer']
['teres', 'terse']
['tesla', 'stela']
['tesla', 'steal']
['testa', 'taste']
['testa', 'state']
['tetra', 'treat']
['theca', 'cheat']
['there', 'ether']
['thorn', 'north']
['three', 'there']
['three', 'ether']
['throw', 'worth']
['throw', 'wroth']
['tiara', 'riata']
['tiara', 'taira']
['tical', 'ictal']
['tiled', 'tilde']
['tiler', 'liter']
['timer', 'mitre']
['timer', 'miter']
['titan', 'taint']
['titre', 'titer']
['toast', 'stoat']
['today', 'toady']
['tonne', 'tenon']
['tonne', 'tenno']
['tonus', 'snout']
['toper', 'trope']
['toque', 'quote']
['torso', 'roost']
['torso', 'roots']
['torte', 'otter']
['torte', 'toter']
['tough', 'ought']
['trace', 'cater']
['trace', 'caret']
['trace', 'react']
['trace', 'carte']
['train', 'intra']
['train', 'riant']
['trave', 'avert']
['tread', 'trade']
['trial', 'trail']
['tried', 'tired']
['trite', 'titre']
['trite', 'titer']
['troop', 'proto']
['trout', 'tutor']
['trove', 'voter']
['trove', 'overt']
['truce', 'curet']
['truce', 'eruct']
['tsine', 'inset']
['tsine', 'stein']
['tuber', 'buret']
['turps', 'spurt']
['ulcer', 'cruel']
['untie', 'unite']
['upset', 'setup']
['urban', 'unbar']
